Lesson,Accuracy,WPM,Idle Time

Day 12 - Part 6,97.4,37,0
Day 12 - Part 7,94.6,29,0
Day 13 - Part 1,93.5,21,0
Day 13 - Part 2 - Learn X,97.4,30,0
Day 13 - Part 3 - Learn M,100.0,43,0
Day 13 - Part 4,99.4,35,0
Day 13 - Part 5,93.5,20,0
Day 13 - Part 6,94.7,28,0
Day 13 - Part 5,95.5,27,0
Day 13 - Part 1,91.0,18,0
Day 13 - Part 1,98.1,35,0
Day 12 - Part 7,97.7,38,0
Day 13 - Part 6,94.4,27,0
Day 13 - Part 6,96.5,34,0
Day 13 - Part 5,94.8,24,0
Day 13 - Part 5,96.1,28,0
Day 13 - Part 4,98.1,36,0
Day 13 - Part 1,11.0,-448,3
Day 13 - Part 5,88.4,10,0
Day 13 - Part 5,98.7,33,0
Day 13 - Part 6,95.7,30,0
Day 13 - Part 4,98.7,35,1
Day 13 - Part 4,98.7,40,0
Day 13 - Part 1,96.8,31,2
