Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,94.2,26,0
Day 13 - Part 6,96.1,34,0
Day 14 - Part 1,96.8,41,0
Day 14 - Part 2,94.2,31,0
Day 14 - Part 3 - Learn Z,88.9,12,0
Day 14 - Part 4 - Learn Y,96.7,37,0
Day 14 - Part 5,88.9,9,0
Day 14 - Part 6,91.7,19,0
Day 14 - Part 5,87.6,7,0
Day 14 - Part 5,92.2,17,0
Day 14 - Part 3 - Learn Z,98.7,42,0
Day 14 - Part 6,92.8,22,0
Day 14 - Part 5,96.1,27,0
Day 14 - Part 6,94.6,30,0
Day 13 - Part 4,94.8,34,0
Day 14 - Part 2,92.9,24,0
Day 14 - Part 2,90.3,18,2
Day 14 - Part 2,93.2,29,0
Day 14 - Part 2,95.5,38,0
Day 14 - Part 6,88.7,13,0
Day 14 - Part 6,84.9,3,0
