Lesson,Accuracy,WPM,Idle Time

Day 14 - Part 5,92.8,21,0
Day 14 - Part 6,95.9,38,0
Day 15 - Part 1,93.5,26,0
Day 15 - Part 2 - Learn Q,90.5,12,0
Day 15 - Part 3 - Learn Comma,94.8,27,0
Day 15 - Part 4,94.8,23,0
Day 15 - Part 5,95.5,28,0
Day 15 - Part 6,96.4,38,0
Day 15 - Part 2 - Learn Q,93.7,19,0
Day 14 - Part 5,88.2,10,2
Day 14 - Part 5,92.2,24,0
Day 14 - Part 5,86.9,8,0
Day 15 - Part 6,92.6,26,0
Day 15 - Part 3 - Learn Comma,92.2,24,0
Day 14 - Part 5,92.2,22,0
Day 14 - Part 6,86.6,7,0
Day 15 - Part 6,94.8,30,1
Day 15 - Part 5,95.5,25,0
Day 14 - Part 6,93.2,26,0
Day 14 - Part 5,94.8,30,0
Day 15 - Part 1,94.2,30,0
Day 15 - Part 2 - Learn Q,93.0,20,0
Day 15 - Part 2 - Learn Q,92.4,19,0
Day 15 - Part 6,94.3,32,0
Day 15 - Part 6,94.5,32,0
