Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,93.3,33,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.1,34,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.5,33,0
Scripture - 3 Min - Novice - Psalm 23,97.3,46,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,95.8,41,0
Scripture - 5 Min - Novice - Psalm 51,94.1,35,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.7,39,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.0,27,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,88.2,14,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.9,29,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.5,33,9
