Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,91.7,26,0
Day 20 - Part 2,92.5,27,0
Day 20 - Part 3,93.4,27,0
Day 20 - Part 4,96.9,40,0
Day 20 - Part 5,96.5,38,0
Day 20 - Part 6,95.6,37,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,95.2,41,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.3,41,0
Day 20 - Part 1,93.4,30,0
Day 20 - Part 2,94.7,36,0
Day 20 - Part 3,93.0,26,0
Day 20 - Part 3,92.5,26,0
Day 20 - Part 3,96.5,38,0
Day 20 - Part 1,97.4,49,0
Day 20 - Part 2,88.2,14,0
Day 20 - Part 2,93.4,30,0
Day 20 - Part 2,95.6,37,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.4,38,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.7,33,2
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,93.5,37,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.5,54,0
Day 20 - Part 2,94.3,36,0
Day 20 - Part 2,94.3,35,0
Day 20 - Part 2,93.9,34,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.8,45,0
Day 20 - Part 2,93.4,31,0
Day 20 - Part 2,94.7,34,0
Day 20 - Part 2,95.2,37,0
Day 20 - Part 2,95.2,36,0
Day 20 - Part 2,95.2,36,0
Day 20 - Part 2,97.4,44,0
Day 20 - Part 6,95.6,38,0
