Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,95,23,187
8/24/2021,Spacebar and Home Row,96,28,24
8/25/2021,Letters E and H,99,37,42
8/26/2021,Letters O and R,98,36,2
8/27/2021,Review-L04,99,48,12
8/30/2021,Letters I and T,100,49,7
8/31/2021,Left Shift and Period,98,39,8
9/1/2021,Letters U and C,98,33,7
9/7/2021,Review-L08,99,44,1
9/7/2021,Letters N and W,99,44,2
9/7/2021,Letter G and Right Shift,97,34,2
09/08/21,Letters B and P,98.0,35.0,3
09/09/21,Review-L12,99.0,48.0,0
09/10/21,Letters M and X,98.0,36.0,6
09/13/21,Letters Y and Z,96.0,35.0,7
09/14/21,Letter Q and Comma,95.0,29.0,3
09/15/21,Review-L16,96.0,39.0,0
09/16/21,Letter V and Colon,97.0,42.0,0
09/17/21,Caps Lock and Question Mark,94.0,30.0,3
09/20/21,Quotations & Apsotrophe & Hyphen,95.0,33.0,16
09/21/21,Evaluate Speed-01,95.0,37.0,10
09/22/21,Review 1-01,97.0,43.0,2
