name,date,score,time,time_of_day

Letter Game,08-19-21,1330,68,49013
Letter Game,08-19-21,258,17,49051
Letter Game,08-19-21,1650,64,49128
Letter Game,08-19-21,1770,65,49250
Letter Game,08-24-21,1750,64,49252
Letter Game,08-24-21,1765,63,49344
Letter Game,08-25-21,1780,65,48690
Letter Game,08-25-21,340,3,48796
Letter Game,08-25-21,1790,61,48874
Letter Game,08-25-21,1705,63,49002
Letter Game,08-25-21,1825,62,49100
Letter Game,08-25-21,1795,62,49233
Letter Game,08-25-21,1815,62,49303
Letter Game,08-25-21,1825,60,49375
Letter Game,08-26-21,1620,66,49124
Letter Game,08-26-21,1630,61,49191
Letter Game,08-26-21,1620,65,49264
Letter Game,08-26-21,1680,60,49337
Letter Game,08-27-21,1440,61,48420
Letter Game,08-27-21,1880,59,48489
Letter Game,08-27-21,1810,65,48565
Letter Game,08-27-21,1850,65,48655
Letter Game,08-27-21,1860,59,48722
Letter Game,08-27-21,1820,59,48789
Letter Game,08-27-21,1820,61,48855
Letter Game,08-27-21,1900,64,48944
Letter Game,08-27-21,2000,61,49025
Letter Game,08-27-21,1870,64,49098
Letter Game,08-27-21,1840,64,49210
Letter Game,08-27-21,1870,64,49320
Letter Game,08-30-21,1370,60,47508
Letter Game,08-30-21,1290,59,47574
Letter Game,08-30-21,1130,60,47659
Letter Game,08-31-21,1160,64,48754
Letter Game,08-31-21,1360,59,48899
Letter Game,08-31-21,263,3,48929
Letter Game,08-31-21,1310,58,48995
Letter Game,08-31-21,275,5,49064
Letter Game,08-31-21,1300,58,49129
Letter Game,08-31-21,1210,60,49234
Letter Game,08-31-21,1220,59,49299
Letter Game,08-31-21,1290,57,49368
Letter Game,09-01-21,1400,59,48469
Letter Game,09-01-21,1260,61,48535
Letter Game,09-01-21,1260,70,48612
Letter Game,09-01-21,410,14,48635
Letter Game,09-01-21,470,11,48665
Letter Game,09-01-21,1380,63,48746
Letter Game,09-01-21,1350,59,48813
Letter Game,09-01-21,390,15,48848
Letter Game,09-01-21,500,53,48908
Letter Game,09-01-21,1675,66,49203
Letter Game,09-01-21,328,1,49289
Letter Game,09-01-21,1710,70,49365
Zerg Rush,09-02-21,0,6,48007
Zerg Rush,09-02-21,1230,73,48106
Zerg Rush,09-02-21,1696,129,48245
Zerg Rush,09-02-21,1508,121,48378
Zerg Rush,09-02-21,1788,134,48521
Zerg Rush,09-02-21,2000,142,48667
Zerg Rush,09-02-21,1616,122,48805
Zerg Rush,09-02-21,350,78,48891
Zerg Rush,09-02-21,1854,27,48923
Zerg Rush,09-02-21,1674,26,48993
Zerg Rush,09-02-21,1620,25,49021
Zerg Rush,09-02-21,2151,64,49101
Zerg Rush,09-02-21,1980,59,49172
Zerg Rush,09-02-21,1638,55,49228
Zerg Rush,09-02-21,1776,88,49320
Zerg Rush,09-02-21,0,5,49330
Zerg Rush,09-02-21,364,33,49372
Zerg Rush,09-02-21,0,0,49373
Zerg Rush,09-03-21,1768,131,47596
Zerg Rush,09-03-21,1860,296,47897
Zerg Rush,09-03-21,1988,141,48043
Zerg Rush,09-03-21,2188,147,48196
Zerg Rush,09-03-21,2056,146,48346
Zerg Rush,09-03-21,2160,97,48448
Zerg Rush,09-03-21,2760,109,48588
Zerg Rush,09-03-21,2274,99,48693
Zerg Rush,09-03-21,2592,106,48823
Zerg Rush,09-03-21,1974,93,48940
Zerg Rush,09-03-21,2100,95,49124
Zerg Rush,09-03-21,1830,88,49221
Zerg Rush,09-03-21,1626,80,49306
Zerg Rush,09-03-21,930,50,49372
Zerg Rush,09-03-21,0,0,49374
Zerg Rush,09-07-21,1704,130,48267
Zerg Rush,09-07-21,2022,93,48375
Zerg Rush,09-07-21,1700,128,48511
Zerg Rush,09-07-21,2196,64,48582
Zerg Rush,09-07-21,2106,62,48944
Zerg Rush,09-07-21,1726,285,49246
Zerg Rush,09-07-21,68,9,49264
Zerg Rush,09-07-21,1836,27,49293
Zerg Rush,09-07-21,1152,23,49330
Zerg Rush,09-07-21,1674,25,49359
Zerg Rush,09-07-21,684,16,49377
Zerg Rush,09-08-21,1904,299,48296
Zerg Rush,09-08-21,2124,98,48402
Zerg Rush,09-08-21,154,39,48452
Zerg Rush,09-08-21,1876,138,48591
Zerg Rush,09-08-21,2124,149,48744
Zerg Rush,09-08-21,1792,133,48897
Zerg Rush,09-08-21,100,11,48912
Zerg Rush,09-08-21,2160,97,49011
Zerg Rush,09-08-21,900,59,49086
Zerg Rush,09-08-21,1962,95,49183
Zerg Rush,09-08-21,2154,97,49289
Letter Game,09-08-21,1320,58,49360
Zerg Rush,09-09-21,2104,146,48971
Zerg Rush,09-09-21,2084,146,49172
Zerg Rush,09-09-21,2070,94,49314
Zerg Rush,09-09-21,2112,98,49532
Zerg Rush,09-09-21,1536,81,49639
Zerg Rush,09-09-21,1278,75,49717
Zerg Rush,09-09-21,2184,99,49838
Zerg Rush,09-09-21,2529,68,49977
Zerg Rush,09-09-21,1314,23,50026
Zerg Rush,09-09-21,1296,37,50091
Zerg Rush,09-10-21,2256,151,48219
Zerg Rush,09-10-21,2538,69,48341
Zerg Rush,09-10-21,2241,65,48461
Zerg Rush,09-10-21,2745,71,48599
Zerg Rush,09-10-21,2169,65,48689
Zerg Rush,09-10-21,2421,68,48761
Zerg Rush,09-10-21,2628,69,48857
Zerg Rush,09-10-21,144,5,48870
Zerg Rush,09-10-21,2196,28,48924
Zerg Rush,09-10-21,2097,60,49020
Zerg Rush,09-10-21,792,33,49142
Zerg Rush,09-10-21,2142,63,49205
Zerg Rush,09-10-21,318,34,49359
Zerg Rush,09-13-21,2466,66,48941
Zerg Rush,09-13-21,1881,59,49053
Zerg Rush,09-13-21,2448,67,49154
Zerg Rush,09-13-21,2619,70,49302
Zerg Rush,09-13-21,2187,63,49379
Zerg Rush,09-14-21,2082,93,48412
Zerg Rush,09-14-21,2313,65,48496
Zerg Rush,09-14-21,1953,61,48567
Zerg Rush,09-14-21,2169,63,48633
Zerg Rush,09-14-21,2025,62,48712
Zerg Rush,09-14-21,2331,67,48782
Zerg Rush,09-14-21,2538,68,48878
Zerg Rush,09-14-21,2547,69,48962
Zerg Rush,09-14-21,2358,66,49048
Zerg Rush,09-14-21,2754,31,49099
Zerg Rush,09-14-21,162,7,49114
Zerg Rush,09-14-21,0,3,49118
Zerg Rush,09-14-21,1800,26,49146
Zerg Rush,09-14-21,0,4,49152
Zerg Rush,09-14-21,972,20,49174
Zerg Rush,09-14-21,1854,28,49203
Zerg Rush,09-14-21,2502,29,49233
Zerg Rush,09-14-21,1188,22,49273
Zerg Rush,09-14-21,2322,29,49305
Zerg Rush,09-14-21,2034,28,49335
Zerg Rush,09-14-21,1044,19,49357
Zerg Rush,09-14-21,1638,24,49383
Zerg Rush,09-15-21,2736,70,49215
Zerg Rush,09-15-21,2304,64,49314
Zerg Rush,09-15-21,1809,58,49378
Zerg Rush,09-15-21,2313,65,49447
Zerg Rush,09-16-21,64,20,48969
Zerg Rush,09-16-21,2313,65,49037
Zerg Rush,09-16-21,2052,62,49100
Zerg Rush,09-16-21,2430,67,49169
Zerg Rush,09-16-21,2187,65,49286
Zerg Rush,09-16-21,2772,71,49359
Zerg Rush,09-16-21,2250,65,49427
Zerg Rush,09-16-21,0,2,49430
Zerg Rush,09-17-21,2547,69,49085
Zerg Rush,09-17-21,1989,63,49169
Zerg Rush,09-17-21,2277,66,49237
Zerg Rush,09-17-21,2619,69,49308
