Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,100.0,46,0
Day 01 - Part 2 - Learn Home Row,99.4,43,0
Day 01 - Part 3,99.8,43,0
Day 01 - Part 4,99.3,54,0
Day 01 - Part 5,98.7,47,0
Day 01 - Part 6,99.0,43,0
Day 01 - Part 7,98.7,46,0
Day 01 - Part 8,100.0,48,0
Day 01 - Part 9,98.5,54,0
Day 01 - Part 9,99.5,54,0
Day 01 - Part 7,99.7,49,0
Day 01 - Part 5,99.7,49,0
Day 01 - Part 6,99.7,43,5
Day 01 - Part 4,99.3,57,0
Day 01 - Part 4,100.0,59,0
Day 01 - Part 2 - Learn Home Row,99.7,46,0
Day 01 - Part 9,98.0,54,0
