Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,100.0,46,0
Day 01 - Part 2 - Learn Home Row,99.4,44,0
Day 02 - Part 4,98.7,54,0
Day 02 - Part 5,100.0,60,0
Day 03 - Part 1,100.0,59,0
Day 03 - Part 2 - Learn R,99.3,55,0
Day 03 - Part 3 - Learn O,98.7,45,0
Day 03 - Part 4,98.7,56,0
Day 03 - Part 5,97.4,46,0
Day 03 - Part 5,100.0,57,0
Day 03 - Part 3 - Learn O,100.0,49,0
Day 02 - Part 4,100.0,67,0
Day 03 - Part 4,100.0,63,0
Day 03 - Part 2 - Learn R,100.0,61,0
Day 01 - Part 2 - Learn Home Row,100.0,52,0
