Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,100.0,61,0
Day 04 - Part 7,100.0,60,0
Day 05 - Part 1,99.3,53,0
Day 05 - Part 2 - Learn T,98.7,48,0
Day 05 - Part 3 - Learn I,100.0,52,0
Day 05 - Part 4,99.3,60,0
Day 05 - Part 5,96.7,50,0
Day 05 - Part 6,98.7,56,0
Day 05 - Part 7,100.0,55,0
Day 05 - Part 5,100.0,63,0
Day 05 - Part 2 - Learn T,100.0,66,0
Day 05 - Part 6,100.0,68,0
Day 05 - Part 1,100.0,76,0
Day 05 - Part 4,100.0,58,0
Day 04 - Part 6,100.0,64,0
Day 05 - Part 3 - Learn I,100.0,68,0
Day 05 - Part 7,100.0,62,0
Day 05 - Part 4,100.0,65,0
Day 04 - Part 7,100.0,67,0
Day 05 - Part 7,100.0,65,0
Day 05 - Part 5,100.0,73,0
Day 04 - Part 6,100.0,68,0
Day 05 - Part 4,99.3,60,0
