Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,99.3,53,0
Day 07 - Part 2 - Learn C,97.4,33,0
Day 07 - Part 3 - Learn U,99.3,51,0
Day 07 - Part 4,97.4,41,0
Day 07 - Part 5,96.1,23,0
Day 07 - Part 6,99.2,48,0
Day 07 - Part 7,100.0,59,0
Day 07 - Part 8,100.0,51,0
Day 07 - Part 5,100.0,45,0
Day 07 - Part 2 - Learn C,100.0,40,0
Day 07 - Part 4,100.0,49,0
Day 07 - Part 6,100.0,53,0
Day 07 - Part 3 - Learn U,100.0,59,0
Day 07 - Part 1,100.0,50,0
Day 07 - Part 1,100.0,52,0
Day 07 - Part 1,100.0,62,1
Day 07 - Part 2 - Learn C,97.4,49,0
