Lesson,Accuracy,WPM,Idle Time

Day 08 - Part 1,100.0,56,0
Day 08 - Part 2,99.0,54,0
Day 08 - Part 3,97.4,44,0
Day 08 - Part 4,99.3,58,0
Day 08 - Part 5,98.1,51,0
Day 08 - Part 6,100.0,57,0
Day 08 - Part 7,100.0,68,0
Day 08 - Part 8,100.0,71,0
Day 08 - Part 9,99.3,54,0
Day 08 - Part 3,100.0,51,0
Day 08 - Part 5,100.0,68,0
Day 08 - Part 2,100.0,67,0
Day 08 - Part 9,100.0,60,0
Day 08 - Part 4,100.0,65,0
Day 08 - Part 3,100.0,62,0
Day 08 - Part 1,100.0,68,0
Day 08 - Part 6,100.0,57,0
Day 08 - Part 6,100.0,57,0
Day 08 - Part 6,100.0,65,0
Day 08 - Part 9,99.3,64,0
