Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,98.1,55,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.2,67,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.1,47,0
Scripture - 3 Min - Novice - Psalm 23,96.2,42,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,47,0
Scripture - 5 Min - Novice - Psalm 51,96.4,45,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.4,45,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.9,44,0
Scripture - 3 Min - Novice - Psalm 23,100.0,32,0
Scripture - 5 Min - Novice - Psalm 51,100.0,32,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.8,33,0
