name,date,score,time,time_of_day

Letter Game,08-19-21,860,98,49042
Letter Game,08-19-21,995,90,49172
Letter Game,08-19-21,325,4,49215
Letter Game,08-19-21,328,1,49226
Letter Game,08-19-21,502,23,49259
Letter Game,08-24-21,660,84,49189
Letter Game,08-24-21,600,86,49288
Letter Game,08-24-21,390,1,49303
Letter Game,08-24-21,265,2,49319
Letter Game,08-26-21,1160,87,49273
Letter Game,08-26-21,767,74,49387
Letter Game,08-31-21,1140,81,49048
Letter Game,08-31-21,1110,80,49202
Letter Game,08-31-21,1010,81,49337
Letter Game,08-31-21,328,1,49351
Letter Game,08-31-21,520,23,49378
Letter Game,09-01-21,1180,74,49245
Letter Game,09-01-21,1490,77,49372
Zerg Rush,09-02-21,34,35,48841
Zerg Rush,09-02-21,556,158,49002
Zerg Rush,09-02-21,612,22,49038
Zerg Rush,09-02-21,675,41,49087
Zerg Rush,09-02-21,1098,53,49230
Zerg Rush,09-02-21,0,1,49237
Zerg Rush,09-02-21,388,111,49372
Zerg Rush,09-07-21,66,25,49141
Zerg Rush,09-07-21,138,26,49170
Zerg Rush,09-07-21,240,33,49206
Zerg Rush,09-07-21,288,36,49244
Zerg Rush,09-07-21,360,39,49317
Zerg Rush,09-07-21,594,21,49347
Zerg Rush,09-07-21,54,25,49377
Zerg Rush,09-08-21,324,49,48780
Zerg Rush,09-08-21,212,37,48821
Zerg Rush,09-08-21,160,36,48897
Zerg Rush,09-08-21,144,56,48976
Zerg Rush,09-08-21,198,64,49063
Zerg Rush,09-08-21,74,41,49130
Zerg Rush,09-08-21,206,69,49203
Zerg Rush,09-08-21,252,43,49296
Zerg Rush,09-08-21,80,25,49388
Zerg Rush,09-09-21,436,58,49870
Zerg Rush,09-09-21,152,56,49976
Zerg Rush,09-09-21,144,20,50043
Letter Game,09-09-21,495,19,50096
Zerg Rush,09-10-21,144,56,49072
Zerg Rush,09-13-21,252,43,48903
Zerg Rush,09-13-21,152,56,48983
Zerg Rush,09-13-21,432,21,49007
Zerg Rush,09-13-21,264,44,49059
Zerg Rush,09-13-21,344,51,49151
Letter Game,09-13-21,1080,87,49340
Letter Game,09-13-21,636,39,49398
Letter Game,09-14-21,370,112,49069
Letter Game,09-14-21,1000,94,49239
Letter Game,09-14-21,382,12,49403
Letter Game,09-15-21,950,88,49026
Letter Game,09-15-21,239,70,49140
Letter Game,09-15-21,870,88,49281
Letter Game,09-15-21,900,91,49447
Letter Game,09-16-21,1030,83,49042
Letter Game,09-16-21,1060,80,49176
Letter Game,09-16-21,970,83,49294
Letter Game,09-16-21,421,32,49351
Zerg Rush,09-16-21,272,76,49433
Zerg Rush,09-16-21,0,1,49435
Letter Game,09-20-21,840,96,49122
Letter Game,09-20-21,930,90,49239
Letter Game,09-20-21,1020,82,49370
Letter Game,09-20-21,393,21,49407
Letter Game,09-21-21,980,89,49368
Letter Game,09-22-21,130,107,48955
Zerg Rush,09-22-21,414,20,49194
Zerg Rush,09-22-21,384,52,49254
Zerg Rush,09-22-21,320,48,49354
