Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,91.2,14,1
Day 01 - Part 2 - Learn Home Row,37.0,-642,1
Day 01 - Part 1 - Learn Spacebar,83.1,0,0
Day 01 - Part 1 - Learn Spacebar,40.4,-323,0
Day 01 - Part 1 - Learn Spacebar,55.9,-134,0
Day 01 - Part 1 - Learn Spacebar,29.4,-293,0
Day 01 - Part 1 - Learn Spacebar,98.5,34,0
Day 01 - Part 1 - Learn Spacebar,99.3,33,4
Day 01 - Part 2 - Learn Home Row,95.5,30,0
Day 01 - Part 3,44.3,-245,0
Day 01 - Part 4,92.5,18,0
Day 01 - Part 5,56.6,-69,0
Day 01 - Part 6,95.0,24,0
Day 01 - Part 7,87.6,6,0
Day 01 - Part 8,94.4,29,0
Day 01 - Part 9,96.1,22,0
Day 01 - Part 5,95.2,20,0
Day 01 - Part 3,94.8,23,9
Day 01 - Part 7,94.3,20,0
Day 01 - Part 4,96.1,28,1
Day 01 - Part 7,49.3,-179,2
