Lesson,Accuracy,WPM,Idle Time

Day 05 - Part 4,98.7,24,0
Day 05 - Part 5,98.0,26,0
Day 05 - Part 6,100.0,29,0
Day 06 - Part 1,96.1,22,0
Day 06 - Part 2 - Learn Left Shift,96.0,17,0
Day 06 - Part 3 - Learn Period,95.4,19,0
Day 06 - Part 4,94.6,17,0
Day 06 - Part 5,96.9,24,0
Day 06 - Part 4,97.3,25,0
Day 06 - Part 3 - Learn Period,95.4,24,0
Day 06 - Part 3 - Learn Period,98.0,29,0
Day 06 - Part 2 - Learn Left Shift,98.7,27,0
Day 06 - Part 1,97.4,29,1
Day 06 - Part 5,95.1,22,0
Day 06 - Part 5,98.0,28,0
