Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,96.7,30,0
Day 09 - Part 2,92.2,15,0
Day 09 - Part 3,98.1,35,0
Day 09 - Part 4 - Learn W,94.1,19,0
Day 09 - Part 5 - Learn N,98.7,36,0
Day 09 - Part 6,94.8,22,0
Day 09 - Part 7,94.2,21,0
Day 09 - Part 8,92.8,18,0
Day 09 - Part 9,95.5,19,0
Day 09 - Part 2,94.8,23,0
Day 09 - Part 8,94.1,18,0
Day 09 - Part 8,97.4,29,0
Day 09 - Part 4 - Learn W,96.7,26,0
Day 09 - Part 7,95.5,26,1
Day 09 - Part 6,94.8,24,0
Day 09 - Part 2,98.0,33,0
Day 09 - Part 6,94.8,24,0
Day 09 - Part 6,94.1,25,1
Day 09 - Part 6,98.7,38,0
Day 09 - Part 9,96.1,26,0
Day 09 - Part 7,94.8,25,0
Day 09 - Part 7,94.8,26,0
Day 09 - Part 7,94.8,25,0
Day 09 - Part 7,95.5,28,0
Day 09 - Part 7,98.1,34,0
Day 09 - Part 9,83.8,0,0
Day 09 - Part 9,96.1,24,0
Day 09 - Part 9,96.1,26,0
Day 09 - Part 9,85.1,3,0
Day 09 - Part 9,95.5,25,0
Day 09 - Part 9,96.8,26,0
Day 09 - Part 4 - Learn W,96.7,28,0
Day 09 - Part 4 - Learn W,90.2,16,1
