Lesson,Accuracy,WPM,Idle Time

Day 10 - Part 4,96.1,21,0
Day 10 - Part 5,100.0,31,0
Day 11 - Part 1,94.8,22,0
Day 11 - Part 2 - Learn B,94.1,18,0
Day 11 - Part 3 - Learn P,94.8,22,0
Day 11 - Part 4,89.7,10,0
Day 11 - Part 5,93.0,16,0
Day 11 - Part 4,96.8,22,0
Day 11 - Part 5,93.0,16,0
Day 11 - Part 5,94.0,20,0
Day 11 - Part 5,95.5,23,0
Day 11 - Part 2 - Learn B,93.5,20,0
Day 11 - Part 2 - Learn B,92.8,20,0
Day 11 - Part 2 - Learn B,96.7,27,0
Day 11 - Part 1,96.1,25,0
Day 11 - Part 3 - Learn P,95.4,25,0
Day 11 - Part 3 - Learn P,94.8,23,0
