Lesson,Accuracy,WPM,Idle Time

Day 14 - Part 5,95.4,20,0
Day 14 - Part 6,97.9,30,0
Day 15 - Part 1,98.7,35,0
Day 15 - Part 2 - Learn Q,91.1,12,0
Day 15 - Part 3 - Learn Comma,93.5,15,0
Day 15 - Part 4,86.5,4,0
Day 15 - Part 5,93.5,16,0
Day 15 - Part 6,96.2,27,0
Day 15 - Part 4,95.5,20,0
Day 15 - Part 2 - Learn Q,94.9,22,0
Day 15 - Part 3 - Learn Comma,95.4,23,0
Day 15 - Part 5,91.0,13,2
Day 15 - Part 5,89.7,10,0
Day 15 - Part 5,94.8,20,0
Day 15 - Part 5,96.8,24,0
Day 15 - Part 2 - Learn Q,99.4,34,0
Day 14 - Part 5,90.2,13,0
Day 14 - Part 5,96.7,26,0
Day 15 - Part 3 - Learn Comma,96.1,25,0
Day 15 - Part 4,94.2,19,0
Day 15 - Part 4,94.2,18,0
Day 15 - Part 4,95.5,22,0
Day 15 - Part 4,96.1,23,0
Day 15 - Part 4,4.5,-1256,0
