Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,98.4,31,0
Day 16 - Part 5,97.0,31,0
Day 17 - Part 1,98.1,36,0
Day 17 - Part 2 - Learn V,97.4,32,0
Day 17 - Part 3 - Learn Colon,92.2,12,0
Day 17 - Part 4,94.2,19,0
Day 17 - Part 5,96.1,27,0
Day 17 - Part 3 - Learn Colon,95.5,21,0
Day 17 - Part 4,96.6,26,0
Day 17 - Part 3 - Learn Colon,94.8,20,0
Day 17 - Part 3 - Learn Colon,96.8,25,0
Day 17 - Part 5,97.7,33,0
Day 17 - Part 4,97.6,27,0
Day 17 - Part 3 - Learn Colon,98.7,29,0
Day 16 - Part 5,97.0,33,0
Day 16 - Part 5,99.6,43,0
Day 17 - Part 2 - Learn V,96.7,31,0
Day 17 - Part 2 - Learn V,98.7,43,0
Day 17 - Part 4,96.6,28,0
Day 17 - Part 4,97.1,27,0
Day 17 - Part 4,98.1,32,0
Day 17 - Part 5,97.6,33,0
