Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,97.4,34,0
Day 20 - Part 2,97.8,34,0
Day 20 - Part 3,93.4,19,0
Day 20 - Part 4,96.1,27,0
Day 20 - Part 5,96.5,24,0
Day 20 - Part 6,99.6,40,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.8,26,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,77.7,-14,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.5,35,0
Day 20 - Part 3,98.7,32,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,93.6,23,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,96.9,31,0
Day 20 - Part 4,98.2,34,0
Day 20 - Part 5,97.8,31,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.5,36,0
Day 20 - Part 1,98.3,36,0
Day 20 - Part 5,95.1,25,0
Day 20 - Part 5,97.8,32,0
Day 20 - Part 5,96.9,30,0
Day 20 - Part 5,98.2,33,0
Day 20 - Part 2,97.8,36,0
Day 20 - Part 2,99.6,41,0
Day 20 - Part 5,96.9,32,0
Day 20 - Part 5,95.6,27,0
Day 20 - Part 5,99.1,36,0
Day 20 - Part 4,95.2,25,0
Day 20 - Part 4,97.8,33,0
