Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/18/2021,Home Row Intro,97,14,24
8/19/2021,Home Row Intro,97,25,0
8/24/2021,Spacebar and Home Row,96,25,16
8/25/2021,Letters E and H,97,26,58
8/26/2021,Letters O and R,98,29,33
8/30/2021,Review-L04,98,32,0
8/31/2021,Left Shift and Period,98,27,1
9/1/2021,Letters U and C,96,24,1
9/2/2021,Review-L08,97,30,0
9/7/2021,Letters N and W,98,32,3
9/7/2021,Letter G and Right Shift,95,21,0
9/8/2021,Letters B and P,97,25,0
9/9/2021,Review-L12,98,30,0
9/10/2021,Letters M and X,98,30,0
9/13/2021,Letters Y and Z,98,26,1
9/14/2021,Letter Q and Comma,97,28,2
9/15/2021,Review-L16,98,31,1
9/16/2021,Letter V and Colon,98,35,0
9/20/2021,Caps Lock and Question Mark,96,21,4
09/21/21,Evaluate Speed-01,97.0,29.0,0
09/22/21,Quotations & Apsotrophe & Hyphen,96.0,26.0,0
09/22/21,Review 1-01,99.0,36.0,0
