Lesson,Accuracy,WPM,Idle Time

Day 11 - Part 4,96.8,25,0
Day 12 - Part 1,98.1,27,0
Day 12 - Part 2,97.1,37,0
Day 12 - Part 3,98.1,40,0
Day 12 - Part 4,97.4,29,0
Day 12 - Part 5,98.1,35,0
Day 12 - Part 6,100.0,51,0
Day 12 - Part 7,96.9,41,0
Day 11 - Part 4,95.5,28,0
Day 11 - Part 4,99.4,38,0
Day 12 - Part 7,96.5,42,0
Day 12 - Part 7,98.1,50,0
Day 12 - Part 2,97.7,41,6
Day 12 - Part 4,94.2,26,0
Day 12 - Part 4,97.4,42,0
Day 12 - Part 4,97.4,41,0
Day 12 - Part 4,96.8,37,0
Day 12 - Part 4,96.8,34,0
Day 12 - Part 4,98.7,45,0
Day 12 - Part 2,98.7,50,0
Day 12 - Part 1,98.7,41,0
