Date,Lesson,Accuracy,WPM,Idle Time

08/24/21,Spacebar and Home Row,98.0,30.0,15
08/25/21,Letters E and H,100.0,36.0,83
08/26/21,Letters O and R,100.0,36.0,68
08/27/21,Review-L04,99.0,35.0,78
08/30/21,Letters I and T,100.0,39.0,81
09/01/21,Left Shift and Period,98.0,27.0,56
09/01/21,Letters U and C,97.0,29.0,10
09/07/21,Review-L08,99.0,32.0,12
09/07/21,Letters N and W,98.0,35.0,34
09/08/21,Letter G and Right Shift,99.0,32.0,6
09/08/21,Letters B and P,98.0,29.0,18
09/15/21,Letters Y and Z,98.0,30.0,1
09/16/21,Letter Q and Comma,97.0,26.0,48
09/17/21,Letter V and Colon,98.0,30.0,8
09/20/21,Caps Lock and Question Mark,98.0,27.0,6
09/21/21,Review-L12,99.0,44.0,6
09/21/21,Review-L16,98.0,35.0,7
09/22/21,Letter V and Colon,97.0,36.0,3
09/22/21,Caps Lock and Question Mark,97.0,31.0,5
09/22/21,Quotations & Apsotrophe & Hyphen,96.0,29.0,5
