name,date,score,time,time_of_day

Letter Game,08-19-21,390,124,49077
Letter Game,08-19-21,765,96,49206
Letter Game,08-24-21,990,105,49292
Letter Game,08-24-21,313,5,49322
Letter Game,08-24-21,537,49,49382
Letter Game,08-25-21,-950,82,48972
Letter Game,08-25-21,-2000,28,49041
Letter Game,08-25-21,1420,85,49178
Letter Game,08-26-21,920,122,48986
Letter Game,09-01-21,1120,110,49234
Letter Game,09-01-21,967,60,49340
Letter Game,09-01-21,316,3,49350
Letter Game,09-01-21,318,2,49357
Letter Game,09-01-21,448,22,49397
Zerg Rush,09-02-21,34,27,48772
Zerg Rush,09-02-21,62,34,48814
Zerg Rush,09-02-21,144,20,48860
Zerg Rush,09-02-21,142,52,48916
Zerg Rush,09-02-21,486,21,48974
Zerg Rush,09-02-21,26,25,49033
Zerg Rush,09-02-21,62,37,49093
Zerg Rush,09-02-21,48,33,49142
Zerg Rush,09-02-21,104,47,49193
Zerg Rush,09-02-21,16,21,49221
Zerg Rush,09-02-21,72,25,49268
Zerg Rush,09-02-21,110,46,49322
Zerg Rush,09-02-21,558,21,49365
Zerg Rush,09-03-21,190,63,49009
Zerg Rush,09-03-21,136,52,49095
Zerg Rush,09-03-21,164,60,49158
Zerg Rush,09-03-21,360,20,49197
Zerg Rush,09-03-21,132,52,49254
Zerg Rush,09-03-21,136,54,49311
Zerg Rush,09-03-21,146,52,49383
Zerg Rush,09-07-21,74,35,49266
Zerg Rush,09-07-21,104,43,49312
Zerg Rush,09-07-21,140,54,49391
Zerg Rush,09-08-21,70,39,48847
Zerg Rush,09-08-21,540,20,48878
Zerg Rush,09-08-21,104,45,48927
Zerg Rush,09-08-21,186,65,49005
Zerg Rush,09-08-21,80,37,49056
Zerg Rush,09-08-21,180,63,49124
Zerg Rush,09-08-21,120,50,49180
Zerg Rush,09-08-21,94,41,49229
Zerg Rush,09-08-21,168,56,49298
Zerg Rush,09-08-21,130,51,49357
Zerg Rush,09-08-21,70,37,49399
Zerg Rush,09-09-21,174,65,49843
Zerg Rush,09-09-21,100,45,49898
Zerg Rush,09-09-21,76,37,49939
Zerg Rush,09-09-21,228,73,50020
Zerg Rush,09-09-21,216,69,50099
Zerg Rush,09-10-21,228,69,48877
Zerg Rush,09-10-21,198,65,48947
Zerg Rush,09-10-21,122,47,48998
Zerg Rush,09-10-21,118,47,49048
Zerg Rush,09-10-21,576,20,49074
Zerg Rush,09-10-21,88,27,49106
Zerg Rush,09-10-21,130,48,49159
Zerg Rush,09-10-21,132,50,49214
Zerg Rush,09-10-21,138,52,49269
Zerg Rush,09-10-21,276,83,49355
Zerg Rush,09-10-21,274,84,49456
Zerg Rush,09-13-21,104,45,48913
Zerg Rush,09-13-21,346,95,49011
Zerg Rush,09-13-21,118,44,49104
Zerg Rush,09-13-21,194,65,49182
Zerg Rush,09-13-21,236,72,49260
Zerg Rush,09-13-21,720,21,49311
Zerg Rush,09-13-21,412,55,49372
Zerg Rush,09-13-21,178,62,49444
Zerg Rush,09-14-21,152,56,49113
Zerg Rush,09-14-21,274,82,49199
Zerg Rush,09-14-21,374,99,49301
Zerg Rush,09-14-21,332,94,49401
Zerg Rush,09-15-21,78,33,49050
Zerg Rush,09-15-21,262,79,49131
Zerg Rush,09-15-21,196,69,49206
Zerg Rush,09-15-21,252,79,49288
Zerg Rush,09-15-21,260,83,49376
Zerg Rush,09-15-21,254,77,49457
Zerg Rush,09-16-21,222,67,49091
Zerg Rush,09-16-21,340,97,49191
Zerg Rush,09-16-21,302,88,49318
Zerg Rush,09-16-21,132,53,49448
Zerg Rush,09-17-21,262,81,49122
Zerg Rush,09-17-21,404,109,49234
Zerg Rush,09-17-21,390,103,49354
Zerg Rush,09-17-21,232,66,49424
Zerg Rush,09-20-21,84,36,49131
Zerg Rush,09-20-21,56,30,49162
Zerg Rush,09-20-21,224,70,49235
Zerg Rush,09-20-21,308,89,49344
Zerg Rush,09-20-21,242,72,49419
Zerg Rush,09-21-21,148,52,49116
Zerg Rush,09-21-21,206,63,49182
Zerg Rush,09-21-21,78,29,49221
Zerg Rush,09-21-21,236,72,49297
Zerg Rush,09-21-21,216,66,49368
Zerg Rush,09-21-21,168,58,49433
Zerg Rush,09-22-21,178,63,48903
Zerg Rush,09-22-21,310,88,48993
Zerg Rush,09-22-21,280,37,49057
Zerg Rush,09-22-21,180,33,49092
Zerg Rush,09-22-21,424,56,49152
Zerg Rush,09-22-21,292,49,49206
Zerg Rush,09-22-21,522,20,49232
Zerg Rush,09-22-21,810,23,49258
Zerg Rush,09-22-21,276,31,49293
Zerg Rush,09-22-21,246,33,49329
Zerg Rush,09-22-21,240,35,49370
