Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,99.3,22,0
Day 01 - Part 4,94.9,19,0
Day 01 - Part 5,100.0,24,0
Day 02 - Part 1,92.2,10,0
Day 02 - Part 2 - Learn E,98.0,20,0
Day 02 - Part 3 - Learn H,97.4,18,0
Day 02 - Part 4,95.8,9,0
Day 02 - Part 5,99.0,18,1
Day 02 - Part 1,98.0,19,0
Day 01 - Part 4,96.0,22,0
Day 02 - Part 4,100.0,14,0
Day 01 - Part 4,96.4,23,0
Day 01 - Part 4,95.0,19,1
Day 01 - Part 4,95.9,21,2
Day 01 - Part 4,95.4,24,1
Day 01 - Part 4,95.6,21,0
Day 01 - Part 1 - Learn Spacebar,86.8,5,0
Day 01 - Part 4,95.8,26,0
