Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,97.9,16,0
Day 04 - Part 7,100.0,20,0
Day 05 - Part 1,94.1,14,0
Day 05 - Part 2 - Learn T,96.7,18,0
Day 05 - Part 3 - Learn I,92.2,11,0
Day 05 - Part 4,94.1,12,0
Day 05 - Part 5,97.4,17,0
Day 05 - Part 6,95.4,13,0
Day 05 - Part 7,94.1,16,0
Day 05 - Part 3 - Learn I,94.1,16,0
Day 05 - Part 4,94.1,14,0
Day 05 - Part 1,98.7,24,0
Day 05 - Part 4,94.7,12,1
Day 05 - Part 3 - Learn I,94.8,18,0
Day 05 - Part 7,98.7,24,0
Day 05 - Part 4,96.1,16,1
Day 05 - Part 3 - Learn I,96.7,24,0
Day 05 - Part 6,96.1,15,0
Day 05 - Part 6,94.1,15,0
