Lesson,Accuracy,WPM,Idle Time

Day 08 - Part 1,96.1,12,0
Day 08 - Part 2,97.9,16,1
Day 08 - Part 3,96.8,14,0
Day 08 - Part 4,96.7,21,0
Day 08 - Part 5,98.1,17,0
Day 08 - Part 6,96.7,13,0
Day 08 - Part 7,95.4,16,0
Day 08 - Part 8,96.1,19,0
Day 08 - Part 9,97.4,16,0
Day 08 - Part 7,99.3,21,0
Day 08 - Part 1,97.4,20,0
Day 08 - Part 8,96.1,22,0
Day 08 - Part 8,100.0,30,0
Day 08 - Part 6,95.4,15,0
Day 08 - Part 6,98.0,21,0
Day 08 - Part 4,96.7,25,0
Day 08 - Part 4,96.7,26,0
Day 08 - Part 4,97.4,26,2
