Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,95.4,16,0
Day 09 - Part 2,98.0,20,0
Day 09 - Part 3,98.1,31,0
Day 09 - Part 4 - Learn W,94.8,18,0
Day 09 - Part 5 - Learn N,94.1,18,0
Day 09 - Part 6,93.5,11,0
Day 09 - Part 7,92.3,9,0
Day 09 - Part 8,90.2,6,0
Day 09 - Part 9,98.1,14,0
Day 09 - Part 8,98.0,13,0
Day 09 - Part 7,95.5,14,3
Day 09 - Part 6,96.7,18,0
Day 09 - Part 5 - Learn N,95.4,20,0
Day 09 - Part 4 - Learn W,91.5,12,0
Day 09 - Part 4 - Learn W,98.0,24,1
Day 09 - Part 1,97.4,29,0
Day 09 - Part 5 - Learn N,94.8,26,0
Day 09 - Part 5 - Learn N,94.8,22,0
