Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,96.1,18,0
Day 09 - Part 6,100.0,20,0
Day 10 - Part 1,91.2,9,0
Day 10 - Part 2 - Learn G,92.2,13,0
Day 10 - Part 3 - Learn Right Shift,85.8,1,0
Day 10 - Part 4,94.8,13,0
Day 10 - Part 5,95.0,19,0
Day 10 - Part 3 - Learn Right Shift,91.6,7,0
Day 10 - Part 1,90.6,10,0
Day 10 - Part 1,94.3,18,0
Day 10 - Part 3 - Learn Right Shift,92.3,9,1
Day 10 - Part 2 - Learn G,92.8,17,0
Day 10 - Part 3 - Learn Right Shift,91.6,8,0
Day 10 - Part 3 - Learn Right Shift,90.3,8,0
Day 10 - Part 3 - Learn Right Shift,89.7,6,1
Day 10 - Part 2 - Learn G,95.4,22,1
Day 10 - Part 3 - Learn Right Shift,95.5,12,0
Day 10 - Part 1,96.2,19,0
Day 10 - Part 4,94.2,13,0
