Lesson,Accuracy,WPM,Idle Time

Day 12 - Part 6,94.1,19,0
Day 12 - Part 7,92.2,15,0
Day 13 - Part 1,92.3,13,0
Day 13 - Part 2 - Learn X,92.8,14,0
Day 13 - Part 3 - Learn M,94.1,19,0
Day 13 - Part 4,97.4,20,0
Day 13 - Part 5,92.9,10,0
Day 13 - Part 6,88.3,5,0
Day 13 - Part 1,95.5,17,0
Day 13 - Part 6,93.8,12,0
Day 12 - Part 7,93.0,16,0
Day 13 - Part 2 - Learn X,91.5,13,0
Day 13 - Part 2 - Learn X,96.1,31,0
Day 13 - Part 5,91.6,8,0
Day 12 - Part 7,93.4,15,0
Day 13 - Part 5,95.5,11,0
Day 12 - Part 7,93.0,18,0
