Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,93.5,10,0
Day 13 - Part 6,94.3,16,0
Day 14 - Part 1,94.2,19,0
Day 14 - Part 2,91.9,12,0
Day 14 - Part 3 - Learn Z,95.4,15,0
Day 14 - Part 4 - Learn Y,93.5,12,0
Day 14 - Part 5,79.1,-4,0
Day 14 - Part 6,90.8,8,0
Day 14 - Part 5,90.8,7,0
Day 14 - Part 5,89.5,6,0
Day 14 - Part 5,90.8,7,0
Day 14 - Part 5,95.4,14,0
Day 14 - Part 6,95.2,14,0
Day 14 - Part 2,94.5,16,0
Day 13 - Part 4,96.1,20,0
Day 14 - Part 4 - Learn Y,92.8,15,0
Day 14 - Part 4 - Learn Y,94.1,19,0
