Lesson,Accuracy,WPM,Idle Time

Day 14 - Part 5,96.1,12,0
Day 14 - Part 6,94.8,15,0
Day 15 - Part 1,98.1,22,0
Day 15 - Part 2 - Learn Q,93.7,11,0
Day 15 - Part 3 - Learn Comma,92.2,11,0
Day 15 - Part 4,92.3,8,0
Day 15 - Part 5,96.1,12,1
Day 15 - Part 6,95.5,20,0
Day 15 - Part 3 - Learn Comma,95.4,18,0
Day 15 - Part 4,89.7,7,0
Day 14 - Part 5,93.5,15,0
Day 15 - Part 4,95.5,13,0
Day 15 - Part 2 - Learn Q,98.1,22,0
Day 14 - Part 6,91.1,11,0
Day 14 - Part 6,91.3,13,0
Day 14 - Part 6,89.7,10,1
Day 14 - Part 5,2.0,-1494,0
