Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,95.2,18,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.2,20,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,91.4,14,0
Scripture - 3 Min - Novice - Psalm 23,95.7,22,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.2,18,0
Scripture - 5 Min - Novice - Psalm 51,91.2,13,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.1,19,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.6,18,0
Scripture - 5 Min - Novice - Psalm 51,94.5,19,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,91.7,15,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,93.5,17,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.7,21,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,93.4,17,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.6,20,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,92.8,16,0
