Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,94,14,181
8/24/2021,Spacebar and Home Row,96,20,7
8/25/2021,Letters E and H,98,20,5
8/26/2021,Letters O and R,98,18,4
8/26/2021,Letters E and H,98,21,4
8/26/2021,Home Row Intro,98,26,6
8/27/2021,Review-L04,97,20,5
8/30/2021,Letters I and T,98,19,2
8/31/2021,Left Shift and Period,97,14,2
9/1/2021,Letters U and C,96,14,2
9/2/2021,Review-L08,98,20,3
9/3/2021,Letters N and W,97,20,4
09/07/21,Letter G and Right Shift,96.0,18.0,3
09/08/21,Letters B and P,96.0,19.0,0
09/09/21,Review-L12,96.0,15.0,0
09/09/21,Review-L12,96.0,20.0,0
09/10/21,Letters M and X,95.0,18.0,0
09/13/21,Letters Y and Z,95.0,17.0,0
09/14/21,Letter Q and Comma,96.0,17.0,2
09/15/21,Review-L16,96.0,20.0,1
09/16/21,Letter V and Colon,95.0,19.0,0
09/17/21,Caps Lock and Question Mark,95.0,15.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,94.0,16.0,1
09/21/21,Evaluate Speed-01,95.0,19.0,0
09/22/21,Review 1-01,96.0,20.0,0
