Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,95.6,31,0
Day 01 - Part 2 - Learn Home Row,95.8,36,0
Day 01 - Part 3,87.7,10,0
Day 01 - Part 4,96.1,41,0
Day 01 - Part 5,95.6,36,0
Day 01 - Part 6,94.7,26,0
Day 01 - Part 7,82.7,-1,0
Day 01 - Part 8,95.0,41,0
Day 01 - Part 9,93.2,31,0
Day 01 - Part 7,93.3,21,0
Day 01 - Part 3,96.3,33,0
Day 01 - Part 9,98.5,57,0
Day 01 - Part 7,96.7,39,0
Day 01 - Part 6,96.7,33,0
Day 01 - Part 8,100.0,62,0
Day 01 - Part 1 - Learn Spacebar,95.6,31,0
Day 01 - Part 1 - Learn Spacebar,97.1,35,0
Day 01 - Part 5,96.2,42,0
Day 01 - Part 2 - Learn Home Row,99.0,58,0
Day 01 - Part 4,97.4,57,0
Day 01 - Part 5,98.1,53,0
Day 01 - Part 3,97.0,41,0
