Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,25.7,-108,1
Day 01 - Part 1 - Learn Spacebar,94.1,26,0
Day 01 - Part 4,98.0,58,0
Day 01 - Part 5,100.0,59,0
Day 02 - Part 1,98.7,42,0
Day 02 - Part 2 - Learn E,96.7,35,0
Day 02 - Part 3 - Learn H,94.1,25,0
Day 02 - Part 4,95.5,34,0
Day 02 - Part 5,98.5,53,0
Day 02 - Part 3 - Learn H,98.0,36,0
Day 01 - Part 1 - Learn Spacebar,97.1,38,0
Day 02 - Part 4,100.0,57,2
Day 02 - Part 2 - Learn E,94.1,16,1
Day 02 - Part 2 - Learn E,94.1,21,0
Day 02 - Part 2 - Learn E,99.3,35,0
Day 01 - Part 1 - Learn Spacebar,97.8,34,0
Day 01 - Part 1 - Learn Spacebar,94.9,27,0
Day 01 - Part 1 - Learn Spacebar,97.1,28,0
Day 01 - Part 1 - Learn Spacebar,100.0,38,0
Day 02 - Part 3 - Learn H,99.3,44,0
Day 01 - Part 4,95.4,31,0
Day 01 - Part 4,99.0,42,1
Day 02 - Part 5,97.4,49,0
Day 02 - Part 5,94.8,41,0
Day 02 - Part 5,97.4,63,0
