Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 1,95.1,16,0
Day 04 - Part 2,96.4,30,0
Day 04 - Part 3,98.0,42,0
Day 04 - Part 4,93.6,17,0
Day 04 - Part 5,96.6,30,0
Day 04 - Part 6,94.1,25,0
Day 04 - Part 7,85.9,4,0
Day 04 - Part 7,90.4,16,0
Day 04 - Part 7,96.3,52,0
Day 04 - Part 4,97.5,48,0
Day 04 - Part 6,96.1,39,0
Day 04 - Part 1,97.5,57,0
Day 04 - Part 6,96.6,58,0
Day 04 - Part 7,97.3,38,0
Day 04 - Part 2,96.3,43,0
Day 04 - Part 2,97.2,49,0
Day 04 - Part 5,97.1,50,0
Day 04 - Part 6,97.1,51,0
Day 04 - Part 5,95.1,53,0
Day 04 - Part 1,97.1,51,0
Day 04 - Part 5,96.6,51,0
Day 04 - Part 5,98.0,63,0
Day 04 - Part 6,98.5,55,0
