Lesson,Accuracy,WPM,Idle Time

Day 05 - Part 4,98.7,50,0
Day 05 - Part 5,93.5,21,0
Day 05 - Part 6,100.0,34,0
Day 06 - Part 1,97.4,30,0
Day 06 - Part 2 - Learn Left Shift,96.7,22,0
Day 06 - Part 3 - Learn Period,93.5,15,0
Day 06 - Part 4,93.6,30,0
Day 06 - Part 5,94.4,20,5
Day 06 - Part 3 - Learn Period,90.2,13,0
Day 06 - Part 3 - Learn Period,90.8,9,5
Day 06 - Part 3 - Learn Period,84.3,1,0
Day 06 - Part 3 - Learn Period,86.3,3,4
Day 06 - Part 3 - Learn Period,87.6,4,1
Day 06 - Part 3 - Learn Period,91.5,15,0
Day 06 - Part 3 - Learn Period,95.4,24,0
Day 05 - Part 5,96.1,27,0
Day 06 - Part 4,95.6,36,0
Day 06 - Part 5,94.1,32,0
Day 06 - Part 5,95.1,33,0
Day 06 - Part 5,94.5,37,0
