Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,97.4,32,0
Day 07 - Part 2 - Learn C,96.1,20,0
Day 07 - Part 3 - Learn U,97.4,28,0
Day 07 - Part 4,97.4,26,0
Day 07 - Part 5,84.3,1,0
Day 07 - Part 6,95.3,24,0
Day 07 - Part 7,98.0,36,0
Day 07 - Part 8,99.3,33,0
Day 07 - Part 5,94.8,26,0
Day 07 - Part 5,92.8,23,0
Day 07 - Part 5,94.8,34,0
Day 07 - Part 5,97.4,38,0
Day 07 - Part 6,96.3,46,0
Day 07 - Part 2 - Learn C,98.7,47,0
Day 07 - Part 6,98.2,59,0
Day 07 - Part 4,93.5,25,0
Day 07 - Part 4,94.1,30,0
Day 07 - Part 4,96.7,46,0
Day 07 - Part 4,100.0,54,0
Day 07 - Part 3 - Learn U,99.3,39,0
Day 07 - Part 1,94.1,22,0
Day 07 - Part 1,96.1,33,0
Day 07 - Part 1,94.7,31,0
Day 07 - Part 1,98.7,46,0
Day 07 - Part 5,92.2,23,0
Day 07 - Part 5,97.4,41,0
Day 07 - Part 5,96.1,13,5
Day 07 - Part 5,91.5,13,0
Day 07 - Part 5,94.1,15,0
Day 07 - Part 5,92.2,16,0
Day 07 - Part 5,94.8,27,0
Day 07 - Part 5,96.7,32,0
Day 07 - Part 5,96.1,26,0
Day 07 - Part 5,95.4,27,0
