Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.0,33,0
Day 09 - Part 2,98.0,31,0
Day 09 - Part 3,99.4,37,0
Day 09 - Part 4 - Learn W,98.7,26,0
Day 09 - Part 5 - Learn N,100.0,36,0
Day 09 - Part 6,97.4,31,0
Day 09 - Part 7,99.4,35,0
Day 09 - Part 8,96.7,30,0
Day 09 - Part 9,98.1,29,0
Day 09 - Part 8,97.4,30,0
Day 09 - Part 8,98.0,42,0
Day 09 - Part 6,100.0,39,0
Day 09 - Part 2,100.0,34,0
Day 09 - Part 1,100.0,43,0
Day 09 - Part 8,99.3,29,0
Day 09 - Part 9,98.1,21,1
Day 09 - Part 9,99.4,37,0
Day 09 - Part 4 - Learn W,100.0,48,0
Day 09 - Part 8,97.4,35,0
Day 09 - Part 8,99.3,38,1
Day 09 - Part 8,100.0,45,1
Day 09 - Part 7,100.0,42,0
Day 09 - Part 3,100.0,47,0
Day 09 - Part 9,99.4,42,2
Day 09 - Part 9,100.0,46,0
