Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.0,28,0
Day 09 - Part 6,100.0,39,0
Day 10 - Part 1,96.9,25,0
Day 10 - Part 2 - Learn G,96.1,23,0
Day 10 - Part 3 - Learn Right Shift,94.2,16,0
Day 10 - Part 4,95.5,22,0
Day 10 - Part 5,96.7,36,0
Day 10 - Part 3 - Learn Right Shift,91.6,18,0
Day 10 - Part 3 - Learn Right Shift,90.3,15,0
Day 10 - Part 3 - Learn Right Shift,93.5,15,0
Day 10 - Part 3 - Learn Right Shift,89.7,12,0
Day 10 - Part 3 - Learn Right Shift,94.8,18,0
Day 10 - Part 3 - Learn Right Shift,89.0,14,0
Day 10 - Part 3 - Learn Right Shift,98.7,45,0
Day 10 - Part 4,99.4,42,0
Day 10 - Part 2 - Learn G,94.8,24,0
Day 10 - Part 2 - Learn G,96.1,29,0
Day 10 - Part 2 - Learn G,96.7,29,0
Day 10 - Part 2 - Learn G,98.0,31,0
Day 10 - Part 5,97.1,43,0
Day 10 - Part 1,95.0,28,0
Day 10 - Part 1,98.1,47,0
Day 10 - Part 5,91.0,21,0
Day 10 - Part 5,96.9,42,0
Day 10 - Part 5,96.5,47,0
Day 10 - Part 5,97.5,54,0
Day 10 - Part 5,97.3,45,0
