Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,96.8,34,0
Day 16 - Part 5,97.4,35,0
Day 17 - Part 1,99.4,48,0
Day 17 - Part 2 - Learn V,96.7,32,0
Day 17 - Part 3 - Learn Colon,93.5,21,0
Day 17 - Part 4,95.7,32,0
Day 17 - Part 5,97.9,38,0
Day 17 - Part 3 - Learn Colon,97.4,28,0
Day 17 - Part 4,94.7,27,0
Day 17 - Part 4,97.6,37,0
Day 17 - Part 2 - Learn V,98.0,42,0
Day 16 - Part 4,97.7,48,0
Day 17 - Part 3 - Learn Colon,96.1,31,0
Day 17 - Part 3 - Learn Colon,94.2,27,0
Day 17 - Part 3 - Learn Colon,96.1,29,0
Day 17 - Part 3 - Learn Colon,98.7,39,0
Day 16 - Part 5,99.2,49,0
Day 17 - Part 4,97.1,37,0
Day 17 - Part 4,97.1,37,0
Day 17 - Part 4,98.1,43,0
Day 16 - Part 4,98.4,32,0
Day 17 - Part 5,96.8,39,0
Day 17 - Part 5,97.0,40,0
Day 17 - Part 5,97.6,41,0
Day 17 - Part 5,98.9,45,0
