Lesson,Accuracy,WPM,Idle Time

Day 18 - Part 1,97.1,27,0
Day 18 - Part 2,97.4,42,0
Day 18 - Part 3 - Learn CAPS LOCK,96.3,36,0
Day 18 - Part 4 - Learn Question,95.3,23,0
Day 18 - Part 5,91.8,20,0
Day 18 - Part 6,92.9,21,0
Day 18 - Part 7,96.6,47,0
Day 18 - Part 5,96.8,38,0
Day 18 - Part 6,94.2,30,0
Day 18 - Part 6,96.8,33,0
Day 18 - Part 4 - Learn Question,92.2,21,0
Day 18 - Part 4 - Learn Question,95.9,29,0
Day 18 - Part 4 - Learn Question,98.4,38,0
Day 18 - Part 3 - Learn CAPS LOCK,97.4,45,0
Day 18 - Part 7,94.7,39,0
Day 18 - Part 7,98.0,52,0
