Lesson,Accuracy,WPM,Idle Time

Day 19 - Part 1,98.0,37,0
Day 19 - Part 2 - Learn Apostrophe,96.4,27,0
Day 19 - Part 3 - Learn Quotation,96.2,31,0
Day 19 - Part 4 - Learn Hyphen,92.9,18,0
Day 19 - Part 5,97.6,37,0
Day 19 - Part 6,95.4,22,0
Day 19 - Part 7,98.6,52,0
Day 19 - Part 9,97.0,38,0
Day 19 - Part 4 - Learn Hyphen,93.9,27,0
Day 19 - Part 4 - Learn Hyphen,96.6,32,0
Day 19 - Part 6,95.4,22,0
Day 19 - Part 6,96.2,25,0
Day 19 - Part 6,97.5,28,0
Day 19 - Part 3 - Learn Quotation,96.4,38,0
Day 19 - Part 2 - Learn Apostrophe,97.0,34,0
Day 19 - Part 3 - Learn Quotation,97.4,41,0
Day 19 - Part 4 - Learn Hyphen,90.7,18,0
