Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,94.3,32,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.2,60,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.0,29,0
Scripture - 3 Min - Novice - Psalm 23,98.3,47,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,97.6,50,0
Scripture - 5 Min - Novice - Psalm 51,96.9,43,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.4,43,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.5,39,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.9,49,0
Scripture - 1 Min - Novice - John 3 v 16,95.9,47,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.3,34,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.3,44,0
Scripture - 1 Min - Novice - John 3 v 16,97.4,46,0
