Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,98,36,233
8/24/2021,Spacebar and Home Row,98,48,5
8/26/2021,Letters O and R,99,43,15
8/27/2021,Review-L04,98,50,0
8/30/2021,Letters I and T,98,53,6
8/31/2021,Left Shift and Period,97,32,15
9/1/2021,Letters U and C,99,44,6
9/2/2021,Review-L08,99,38,1
9/3/2021,Letters N and W,100,42,5
09/07/21,Letter G and Right Shift,98.0,41.0,0
09/08/21,Letters B and P,97.0,29.0,6
09/09/21,Review-L12,99.0,37.0,1
09/10/21,Letters M and X,99.0,39.0,2
09/13/21,Letters Y and Z,98.0,31.0,1
09/14/21,Letter Q and Comma,98.0,33.0,12
09/15/21,Review-L16,99.0,51.0,0
09/16/21,Letter V and Colon,99.0,43.0,0
09/17/21,Caps Lock and Question Mark,97.0,39.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,98.0,37.0,0
09/21/21,Evaluate Speed-01,97.0,48.0,0
09/22/21,Review 1-01,100.0,52.0,2
