name,date,score,time,time_of_day

Letter Game,08-19-21,1140,86,49046
Letter Game,08-19-21,1390,79,49226
Letter Game,08-24-21,1470,72,49209
Letter Game,08-24-21,295,10,49234
Letter Game,08-24-21,1570,74,49316
Letter Game,08-24-21,1690,77,49407
Letter Game,08-30-21,907,49,49442
Zerg Rush,09-02-21,496,123,48330
Zerg Rush,09-02-21,378,98,48432
Zerg Rush,09-02-21,618,145,48582
Zerg Rush,09-02-21,478,124,48709
Zerg Rush,09-02-21,762,167,48880
Zerg Rush,09-02-21,694,159,49042
Zerg Rush,09-02-21,808,173,49218
Zerg Rush,09-02-21,630,22,49248
Zerg Rush,09-02-21,562,131,49392
Zerg Rush,09-03-21,878,185,49223
Zerg Rush,09-03-21,668,149,49375
Zerg Rush,09-07-21,670,155,49376
Zerg Rush,09-08-21,774,170,49250
Zerg Rush,09-08-21,720,156,49408
Zerg Rush,09-10-21,814,180,49363
Zerg Rush,09-10-21,138,35,49402
Zerg Rush,09-13-21,104,29,49399
Zerg Rush,09-21-21,674,141,49400
