Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,98.5,28,0
Day 01 - Part 4,98.7,34,0
Day 01 - Part 5,100.0,32,0
Day 02 - Part 1,96.7,27,0
Day 02 - Part 2 - Learn E,96.1,23,0
Day 02 - Part 3 - Learn H,98.0,27,0
Day 02 - Part 4,98.7,36,0
Day 02 - Part 5,96.7,29,0
Day 02 - Part 2 - Learn E,98.0,34,0
Day 02 - Part 1,96.1,26,0
Day 02 - Part 1,100.0,40,0
Day 02 - Part 5,95.5,27,0
Day 02 - Part 5,96.1,27,0
Day 02 - Part 5,98.2,30,0
Day 02 - Part 3 - Learn H,94.8,19,2
Day 02 - Part 3 - Learn H,96.1,25,0
Day 02 - Part 3 - Learn H,95.4,24,0
Day 02 - Part 3 - Learn H,96.1,24,0
Day 02 - Part 3 - Learn H,96.7,25,0
Day 02 - Part 3 - Learn H,98.7,31,0
Day 02 - Part 2 - Learn E,98.0,33,0
Day 02 - Part 2 - Learn E,98.0,35,0
Day 02 - Part 2 - Learn E,97.4,30,0
Day 02 - Part 2 - Learn E,99.3,34,0
Day 02 - Part 5,99.3,39,0
Day 01 - Part 1 - Learn Spacebar,94.1,22,0
Day 01 - Part 1 - Learn Spacebar,97.1,28,0
Day 01 - Part 1 - Learn Spacebar,98.5,31,0
Day 01 - Part 1 - Learn Spacebar,100.0,35,1
Day 02 - Part 3 - Learn H,98.0,34,0
Day 02 - Part 3 - Learn H,97.4,31,1
Day 02 - Part 3 - Learn H,98.0,31,0
Day 02 - Part 3 - Learn H,98.0,31,0
