Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,99.3,31,0
Day 01 - Part 2 - Learn Home Row,97.7,30,0
Day 02 - Part 4,96.2,29,0
Day 02 - Part 5,100.0,41,0
Day 03 - Part 1,97.5,33,0
Day 03 - Part 2 - Learn R,98.0,32,0
Day 03 - Part 3 - Learn O,98.0,31,0
Day 03 - Part 4,94.8,23,0
Day 03 - Part 5,97.1,31,0
Day 03 - Part 4,99.3,36,0
Day 02 - Part 4,96.8,31,0
Day 02 - Part 4,98.1,37,0
Day 03 - Part 5,96.9,32,3
Day 03 - Part 5,98.0,34,2
Day 03 - Part 1,97.0,36,0
Day 03 - Part 1,99.5,42,0
Day 01 - Part 2 - Learn Home Row,97.7,35,7
Day 01 - Part 2 - Learn Home Row,98.1,34,1
Day 03 - Part 3 - Learn O,98.7,36,0
Day 03 - Part 2 - Learn R,98.0,39,0
Day 03 - Part 5,94.5,26,0
