Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 1,97.5,34,0
Day 04 - Part 2,97.8,34,0
Day 04 - Part 3,95.6,26,0
Day 04 - Part 4,95.6,32,0
Day 04 - Part 5,95.6,32,0
Day 04 - Part 6,99.0,42,0
Day 04 - Part 7,96.0,29,0
Day 04 - Part 3,97.6,30,0
Day 04 - Part 4,98.0,34,2
Day 04 - Part 5,96.6,31,0
Day 04 - Part 7,98.3,37,0
Day 04 - Part 5,97.1,32,0
Day 04 - Part 5,98.5,39,1
Day 04 - Part 1,98.5,37,0
Day 04 - Part 3,99.5,38,0
Day 04 - Part 2,98.7,36,0
Day 04 - Part 4,99.0,41,0
Day 04 - Part 7,97.3,35,1
Day 04 - Part 1,99.0,46,0
Day 04 - Part 7,98.5,38,0
Day 04 - Part 7,91.6,20,0
