Lesson,Accuracy,WPM,Idle Time

Day 04 - Part 6,99.0,44,0
Day 04 - Part 7,100.0,45,0
Day 05 - Part 1,96.7,37,0
Day 05 - Part 2 - Learn T,96.0,29,0
Day 05 - Part 3 - Learn I,96.1,29,0
Day 05 - Part 4,98.7,37,0
Day 04 - Part 6,99.0,47,0
Day 04 - Part 7,100.0,48,0
Day 05 - Part 1,97.4,38,0
Day 05 - Part 2 - Learn T,97.3,36,0
Day 05 - Part 3 - Learn I,94.8,26,0
Day 05 - Part 4,96.1,31,0
Day 05 - Part 5,94.8,26,0
Day 05 - Part 6,95.4,28,0
Day 05 - Part 7,98.0,35,0
Day 05 - Part 3 - Learn I,96.1,32,0
Day 05 - Part 5,99.3,46,0
Day 05 - Part 6,99.3,45,0
Day 05 - Part 4,98.0,41,0
Day 05 - Part 3 - Learn I,96.7,34,0
Day 05 - Part 3 - Learn I,94.8,28,0
Day 05 - Part 3 - Learn I,98.7,39,0
Day 05 - Part 2 - Learn T,100.0,48,0
Day 05 - Part 1,98.7,43,0
Day 05 - Part 7,98.0,37,0
Day 05 - Part 7,99.3,41,0
Day 05 - Part 4,100.0,46,0
Day 05 - Part 3 - Learn I,96.7,35,0
Day 05 - Part 3 - Learn I,99.3,45,0
Day 05 - Part 1,98.7,42,0
Day 05 - Part 1,99.3,42,1
Day 04 - Part 6,99.5,41,1
Day 05 - Part 7,100.0,38,0
Day 05 - Part 1,98.7,40,0
Day 05 - Part 1,99.3,40,0
Day 05 - Part 1,99.3,42,0
Day 05 - Part 1,100.0,43,0
