Lesson,Accuracy,WPM,Idle Time

Day 07 - Part 1,99.3,35,0
Day 07 - Part 2 - Learn C,98.0,22,0
Day 07 - Part 3 - Learn U,97.4,31,0
Day 07 - Part 4,95.4,18,0
Day 07 - Part 5,97.4,20,0
Day 07 - Part 6,97.7,24,0
Day 07 - Part 7,98.0,37,0
Day 07 - Part 8,99.3,31,0
Day 07 - Part 4,98.7,30,0
Day 07 - Part 5,99.3,25,0
Day 07 - Part 3 - Learn U,99.3,38,0
Day 07 - Part 6,99.2,32,3
Day 07 - Part 2 - Learn C,100.0,32,0
Day 07 - Part 7,100.0,47,0
Day 07 - Part 4,99.3,28,0
Day 07 - Part 6,99.4,32,0
Day 07 - Part 5,100.0,27,0
Day 07 - Part 4,98.7,29,0
Day 07 - Part 4,98.7,29,0
Day 07 - Part 4,99.3,31,3
Day 07 - Part 4,98.7,33,0
