Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,100.0,45,0
Day 09 - Part 2,96.1,25,0
Day 09 - Part 3,99.4,49,0
Day 09 - Part 4 - Learn W,96.7,25,0
Day 09 - Part 5 - Learn N,98.0,34,0
Day 09 - Part 6,99.3,37,0
Day 09 - Part 7,96.8,33,0
Day 09 - Part 8,96.7,27,0
Day 09 - Part 9,98.7,27,0
Day 09 - Part 2,98.0,30,0
Day 09 - Part 4 - Learn W,99.3,34,0
Day 09 - Part 8,99.3,40,0
Day 09 - Part 7,99.4,38,1
Day 09 - Part 2,100.0,37,0
Day 09 - Part 5 - Learn N,100.0,44,1
Day 09 - Part 9,100.0,31,0
Day 09 - Part 4 - Learn W,98.0,31,1
Day 09 - Part 7,100.0,43,0
Day 09 - Part 4 - Learn W,100.0,39,0
Day 09 - Part 6,99.3,37,0
Day 09 - Part 6,99.3,39,0
Day 09 - Part 6,98.0,33,0
Day 09 - Part 6,100.0,44,0
Day 09 - Part 8,100.0,45,0
Day 09 - Part 3,100.0,54,0
