Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.7,39,0
Day 09 - Part 6,100.0,42,0
Day 10 - Part 1,99.4,36,0
Day 10 - Part 2 - Learn G,97.4,32,0
Day 10 - Part 3 - Learn Right Shift,91.6,8,0
Day 10 - Part 4,96.1,17,0
Day 10 - Part 5,97.1,30,0
Day 10 - Part 3 - Learn Right Shift,96.1,15,2
Day 10 - Part 3 - Learn Right Shift,93.5,12,4
Day 10 - Part 3 - Learn Right Shift,95.5,14,0
Day 10 - Part 3 - Learn Right Shift,96.8,16,1
Day 10 - Part 4,97.4,23,0
Day 10 - Part 3 - Learn Right Shift,98.7,20,0
Day 10 - Part 5,97.3,35,0
Day 10 - Part 5,97.9,38,0
Day 10 - Part 4,98.1,25,0
Day 10 - Part 2 - Learn G,99.3,38,0
