Lesson,Accuracy,WPM,Idle Time

Day 10 - Part 4,98.7,23,0
Day 10 - Part 5,100.0,43,0
Day 11 - Part 1,99.4,40,0
Day 11 - Part 2 - Learn B,98.0,25,0
Day 11 - Part 3 - Learn P,96.7,17,0
Day 11 - Part 4,98.7,22,0
Day 11 - Part 5,98.2,27,0
Day 11 - Part 3 - Learn P,99.3,24,1
Day 11 - Part 2 - Learn B,98.0,27,0
Day 11 - Part 2 - Learn B,100.0,27,1
Day 11 - Part 5,99.2,30,0
Day 11 - Part 4,100.0,29,0
Day 10 - Part 4,100.0,27,0
Day 11 - Part 5,99.4,31,0
Day 11 - Part 3 - Learn P,99.3,31,0
Day 11 - Part 3 - Learn P,100.0,31,1
Day 11 - Part 5,97.3,30,0
