Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,99.4,31,0
Day 13 - Part 6,98.1,32,0
Day 14 - Part 1,98.1,38,0
Day 14 - Part 2,98.7,38,0
Day 14 - Part 3 - Learn Z,94.1,14,0
Day 14 - Part 4 - Learn Y,98.7,38,0
Day 14 - Part 5,96.7,25,0
Day 14 - Part 6,96.5,25,0
Day 14 - Part 3 - Learn Z,98.0,27,0
Day 14 - Part 6,97.7,30,0
Day 14 - Part 5,99.3,34,0
Day 14 - Part 6,98.1,33,5
Day 14 - Part 3 - Learn Z,98.7,30,0
Day 13 - Part 6,98.1,35,0
Day 14 - Part 6,97.9,33,0
Day 14 - Part 6,98.3,34,0
Day 13 - Part 6,99.2,38,3
Day 14 - Part 1,99.4,44,0
