Lesson,Accuracy,WPM,Idle Time

Day 14 - Part 5,96.1,21,0
Day 14 - Part 6,98.6,34,0
Day 15 - Part 1,98.1,34,0
Day 15 - Part 2 - Learn Q,98.7,24,0
Day 15 - Part 3 - Learn Comma,97.4,23,0
Day 15 - Part 4,96.1,19,0
Day 15 - Part 5,96.8,24,0
Day 15 - Part 6,98.1,36,0
Day 15 - Part 4,96.1,21,0
Day 14 - Part 5,100.0,38,0
Day 15 - Part 4,96.8,22,0
Day 15 - Part 4,96.8,20,0
Day 15 - Part 4,99.4,26,0
Day 15 - Part 5,96.8,20,0
Day 15 - Part 5,96.8,22,0
Day 15 - Part 5,98.7,24,0
Day 15 - Part 3 - Learn Comma,98.0,26,0
Day 15 - Part 3 - Learn Comma,98.0,28,0
Day 15 - Part 3 - Learn Comma,98.0,30,0
Day 15 - Part 3 - Learn Comma,98.7,31,0
Day 15 - Part 1,99.4,36,0
Day 15 - Part 6,98.3,35,0
Day 15 - Part 6,98.1,35,0
Day 15 - Part 6,97.9,37,2
Day 15 - Part 6,99.3,40,0
