Lesson,Accuracy,WPM,Idle Time

Day 19 - Part 1,98.0,37,0
Day 19 - Part 2 - Learn Apostrophe,95.8,20,0
Day 19 - Part 3 - Learn Quotation,97.7,28,0
Day 19 - Part 4 - Learn Hyphen,99.2,23,0
Day 19 - Part 5,97.6,28,0
Day 19 - Part 6,96.2,17,0
Day 19 - Part 7,98.6,39,0
Day 19 - Part 9,98.6,43,0
Day 19 - Part 2 - Learn Apostrophe,98.2,26,0
Day 19 - Part 6,98.3,20,0
Day 19 - Part 5,98.9,29,0
Day 19 - Part 3 - Learn Quotation,99.7,32,0
Day 19 - Part 1,99.8,42,0
Day 19 - Part 2 - Learn Apostrophe,98.8,30,0
Day 19 - Part 6,99.2,22,0
Day 19 - Part 7,97.6,40,0
