Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,98.0,36,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.6,42,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.1,27,0
Scripture - 3 Min - Novice - Psalm 23,97.9,36,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.0,39,0
Scripture - 5 Min - Novice - Psalm 51,93.5,24,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.3,32,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.3,33,0
Scripture - 5 Min - Novice - Psalm 51,98.4,37,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.8,37,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,99.3,38,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,98.5,39,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.4,44,0
Scripture - 3 Min - Novice - Psalm 23,37.4,-268,0
