Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,98,25,109
8/24/2021,Spacebar and Home Row,98,30,36
8/25/2021,Letters E and H,99,35,4
8/26/2021,Letters O and R,99,37,13
8/27/2021,Review-L04,99,40,4
8/30/2021,Letters I and T,100,44,2
8/31/2021,Left Shift and Period,99,38,6
9/1/2021,Letters U and C,100,34,6
9/2/2021,Review-L08,100,43,0
9/3/2021,Letters N and W,100,42,3
09/07/21,Letter G and Right Shift,99.0,34.0,7
09/08/21,Letters B and P,100.0,33.0,3
09/09/21,Review-L12,100.0,41.0,1
09/10/21,Letters M and X,100.0,36.0,5
09/13/21,Letters Y and Z,99.0,36.0,8
09/14/21,Letter Q and Comma,99.0,32.0,2
09/15/21,Review-L16,100.0,39.0,2
09/16/21,Letter V and Colon,99.0,38.0,8
09/20/21,Caps Lock and Question Mark,98.0,27.0,26
09/21/21,Quotations & Apsotrophe & Hyphen,99.0,32.0,0
09/22/21,Evaluate Speed-01,98.0,38.0,0
